cdrRecordType,globalCallID_callManagerId,globalCallID_callId,orignodeId,destnodeId,origlegcallIdentifier,destlegidentifier,orignumberPacketsSent,orignumberOctetsSent,orignumberPacketsReceived,orignumberOctetsReceived,orignumberPacketsLost,destnumberPacketsSent,destnumberOctetsSent,destnumberPacketsReceived,destnumberOctetsReceived,destnumberPacketsLost,origjitter,destjitter,origlatency,destlatency,pkid,origdeviceName,destdeviceName,origvarVQMetrics,destvarVQMetrics,globalCallId_ClusterID,callingPartyNumber,finalCalledPartyNumber,callingPartyNumberPartition,finalCalledPartyNumberPartition
1,2,818121,2,1,35590562,35590566,,,,,,903,144480,901,144160,0,,3,,20,d37548f5-f662-4bb7-9653-3ce369c0d921,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,3053192525,3391000,,P_TEL
1,2,818119,2,2,35590557,35590558,5058,809280,5063,870664,0,,,,,,1,,1,,89bbd1e5-9c91-4980-9498-5087fee4958b,SEP700B4F90DFF5,10.2.30.37,CCR=0.0002;ICR=0.0000;ICRmx=0.0033;CS=3;SCS=0;Ver=0.90;VoRxCodec=G.711 u-la;CID=4;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=0;maxJitter=30,,StandAloneCluster,0359,924303600,P_TEL,P_LOCAL_Rio
1,2,818122,2,1,35590568,35590574,,,,,,714,114240,711,113760,0,,2,,0,c2f6c6ba-bbc3-4b63-8671-4cda15b99d87,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,5613378928,3391000,,P_TEL
1,2,818124,2,2,35590576,35590577,889,142240,891,142560,0,,,,,,2,,0,,644a9019-a3ef-43c3-a2a4-607d306e944b,CSFgnnoc,10.2.23.30,CS=0;SCS=0,,StandAloneCluster,2450,96094891254,P_TEL,P_TEL
1,2,818126,2,1,35590581,35590585,,,,,,642,102720,639,102240,0,,3,,0,81b8e2b6-382c-4a1d-bbf7-f5cd3ca343ef,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,5613573765,3391000,,P_TEL
1,2,818127,2,2,35590587,35590588,,,,,,828,142416,726,124872,0,,11,,0,43033ef6-f3b8-45cc-8e56-2d3a29a4cc4a,BOTFPEREIRA,SEPE80462EA7331,,MLQK=4.2512;MLQKav=4.1911;MLQKmn=3.8984;MLQKmx=4.2512;ICR=0.0000;CCR=0.0133;ICRmx=0.0372;CS=3;SCS=2;MLQKvr=0.95,StandAloneCluster,3323,3313,P_TEL,P_TEL
1,2,818128,2,1,35590589,35590593,,,,,,369,59040,367,58720,0,,2,,0,3ee42911-f764-4a29-a08f-2630c0676048,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,8597498511,3391000,,P_TEL
1,2,818130,2,2,35590597,35590598,1239,213108,1239,213108,0,,,,,,2,,0,,b6aca058-77a5-4304-add8-a72c593ef08c,SEPE80462EAB3E6,10.2.30.37,MLQK=4.5000;MLQKav=4.4963;MLQKmn=4.4438;MLQKmx=4.5000;ICR=0.0000;CCR=0.0004;ICRmx=0.0035;CS=1;SCS=0;MLQKvr=0.95,,StandAloneCluster,0360,934604040,P_TEL,P_LOCAL_Rio
1,2,818129,2,2,35590595,35590596,12117,2084124,7264,1246208,0,,,,,,10,,0,,1ba39418-9752-4387-a853-174ac519b2de,SEP00260B5C2E86,10.2.30.113,MLQK=2.0000;MLQKav=2.1667;MLQKmn=2.0000;MLQKmx=4.1489;ICR=0.2099;CCR=0.4034;ICRmx=1.0000;CS=177;SCS=156;MLQKvr=0.95,,StandAloneCluster,4154,904262152948,P_TEL,P_MOV_Caracas
1,2,818132,2,1,35590601,35590605,,,,,,632,101120,630,100800,0,,2,,20,9ec10595-7c6e-457e-a96c-636b0bcca694,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,5613279520,3391000,,P_TEL
