Device Name,Status,
SEP001121FF93F2,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9405,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9414,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF9422,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF943C,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF947E,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9493,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF94FA,None,
SEP001121FF9518,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9519,Unregistered,
SEP001121FF9536,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF953E,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9566,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF956B,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF9579,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF95AA,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF95DF,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9652,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF966D,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF96E2,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF96E7,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF96EA,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9724,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9760,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF97DA,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF98D8,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9906,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF991E,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF9920,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF9921,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9949,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF9954,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF9962,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF99B8,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF99D6,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF99EB,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9A11,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF9A64,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9AF9,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9BB2,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9BE1,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9BF1,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA206,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFA24B,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FFA256,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FFA25B,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
